Asset Name,Name,Serial number,Criticality,Status,Tenant,Role,Manufacturer,Type,BMC IP,BMC MAC,BMC Version,BIOS Version,Asset tag,ID,Tenant Group,Region,Site Group,Site,Location,Rack,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IP Address,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Owner Group,Owner,U Height,Platform,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,BIOS Date,EOL,FW Bundle,Installation Date,Last updated (automatic),OS Info,Product Name,UUID
AST-LON2-00011,lon2-comp-0011,DE427899537,Medium,Offline,Cloud Platform,N/A,Dell,R760XA GPU G2,10.17.50.243,-,7.4,N/A,TAG87993,1010,,EMEA,,LON2,LON2-DC-1,R14,,,26,,,,,,172.21.122.45/24,,10.180.108.68,,,,,,,"DIMM slot A3 flaky, monitor",,,2024-11-01T16:05:10.000000+00:00,2025-09-15T16:05:10.000000+00:00,Platform,ops-team,2,Linux RHEL9,,,2,,2,,,,,,,,dell/01122024,2019-03-06,2026-03-29 16:05:10+00:00,ESXi 8.0u2,R760XA,80e606a0-68b0-4e1e-8300-460ea3792e69
AST-DFW1-00012,dfw1-netw-0012,SU781594897,Medium,Active,Cloud Platform,network,Supermicro,SYS-521E-WR NET Gen3,10.70.178.105,ce:00:ec:d3:1b:60,6.15,1.6.4,TAG47752,1011,,AMER,,DFW1,DFW1-DC-2,R14,,,1,Front,,,Front to rear,,172.31.147.170/24,,10.113.82.85,,,,,"Burn-in done, handed to platform team",,,,"prod,edge",2024-03-07T17:43:59.000000+00:00,2024-04-23T17:43:59.000000+00:00,Platform,ops-team,2,,,,2,,4,,,,,,,25/12/2026,,2024-02-06,2024-08-31 17:43:59+00:00,ESXi 8.0u2,SYS-521E-WR,b1c02750-69f4-4bee-80d0-3ffa8efd722e
AST-AMS1-00013,ams1-comp-0013,DE879591310,High,Active,,compute,Dell,XR11 EDGE,10.84.250.222,–,4.3,2.3.8,TAG12011,1012,,EMEA,,AMS1,N/A,R10,,,26,front,,,,,172.28.233.239/24,,10.168.247.89,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,,2022-07-16T13:56:15.000000+00:00,2023-05-13T13:56:15.000000+00:00,,j.smith,1,Linux Ubuntu 22.04,,,2,,2,,,,,,,2026-12-01,dell/01122024,2019-11-09,2023-09-03 13:56:15+00:00,RHEL 9.4,XR11,4a6e3ea2-f22a-43ac-a9bf-7d2cf35d0b1d
AST-FRA1-00014,fra1-comp-0014,DE542437192,Medium,Active,Cloud Platform,compute,Dell,R7615 STORAGE G2,None,e2:b0:99:d9:80:e9,3.12,1.7.6,N/A,1013,,EMEA,,FRA1,–,R17,,,4,,,,,,172.20.118.119/24,,10.179.123.128,,,,,"Ordered 2023, batch 5, rack row B",,"DIMM slot A3 flaky, monitor",,"baremetal,k8s",2024-10-24T06:39:17.000000+00:00,2025-10-09T06:39:17.000000+00:00,DC-Ops,a.kovac,2,ESXi 8.0,,,2,,6,,,,,,,,dell/30092025,,2026-01-29 06:39:17+00:00,RHEL 9.4,R7615,3bf0fa06-5638-4141-85e8-2fe9184f75bb
AST-BER1-00015,ber1-comp-0015,DE492836532,Low,Active,Cloud Platform,compute,Dell,R760XA GPU G2,10.44.84.66,87:3f:e8:bc:86:c3,4.3,2.0.9,–,1014,,EMEA,,BER1,BER1-DC-4,R18,,,,Front,,,,,-,,10.161.151.192,,,,,,,,,"prod,edge",2024-07-07T07:13:19.000000+00:00,2025-03-21T07:13:19.000000+00:00,,a.kovac,2,,,,2,,4,,,,,,,2026-09-20,dell/01122024,2022-07-13,2025-09-04 07:13:19+00:00,RHEL 9.4,R760XA,989ea7a2-fc12-4ef1-a2d3-441f2e5d5e6f
AST-TYO1-00016,tyo1-comp-0016,N/A,Medium,Active,Internal IT,compute,Dell,R7615 STORAGE G2,10.57.183.16,6a:6e:77:a8:4b:01,3.4,N/A,TAG41186,1015,,N/A,,TYO1,TYO1-DC-4,R08,,,31,front,,,Front to rear,,172.30.46.170/24,,10.124.62.243,,,,,"Ordered 2023, batch 8, rack row B",,"DIMM slot A3 flaky, monitor",,,2020-11-04T16:25:03.000000+00:00,2021-10-22T16:25:03.000000+00:00,,,2,,,,2,,6,,,,,,,05/03/2027,N/A,2022-08-17,2022-04-15 16:25:03+00:00,RHEL 9.4,R7615,6ca59510-76c4-4974-b1ee-0d17ef3d8d0b
AST-FRA1-00017,fra1-comp-0017,DE864668242,,Active,Internal IT,compute,Dell,R660 COMP G2,10.86.150.117,82:bf:4e:f2:22:2e,N/A,1.1.9,,1016,,EMEA,,FRA1,FRA1-DC-4,R18,,,19,front,,,Front to rear,,172.22.220.116/24,,10.155.50.204,,,,,"Ordered 2023, batch 9, rack row B",,,,lab,2022-10-07T07:35:03.000000+00:00,2023-04-21T07:35:03.000000+00:00,DC-Ops,j.smith,2,Linux Ubuntu 22.04,,,2,,2,,,,,,,2026-12-19,N/A,2025-07-12,2023-09-27 07:35:03+00:00,ESXi 8.0u2,R660,86e7fd4b-4de3-4b0a-ab58-f5cbd8e50339
AST-PHX3-00018,phx3-comp-0018,HP464883950,Medium,Active,,compute,HPE,DL360 COMP G1,10.33.73.145,2b:1a:4f:50:19:29,7.13,–,,1017,,AMER,,PHX3,PHX3-DC-4,R10,,,15,,,,Front to rear,,172.16.46.192/24,,10.108.72.190,,,,,"Ordered 2023, batch 1, rack row B",,"Needs recable
see ticket NET-2231",,"prod,edge",2022-12-26T14:12:13.000000+00:00,2022-12-30T14:12:13.000000+00:00,DC-Ops,ops-team,2,Linux Ubuntu 22.04,,,2,,2,,,,,,,,01/02/2026,,2023-05-15 14:12:13+00:00,–,DL360,428cc7fa-1332-4402-9484-54d4c9e783eb
AST-DFW1-00019,dfw1-comp-0019,DE436146289,Medium,Active,Managed Services,compute,Dell,R650XS CONTROL G1,10.83.207.182,9e:ad:71:aa:56:27,2.16,-,–,1018,,AMER,,DFW1,None,R03,,,37,front,,,,,172.21.235.213/24,,N/A,,,,,"Ordered 2023, batch 6, rack row B",,"Needs recable
see ticket NET-2231",,,2024-11-23T19:42:53.000000+00:00,2025-07-01T19:42:53.000000+00:00,Platform,m.papaj,2,Linux Ubuntu 22.04,,,2,,6,,,,,,,,dell/15032026,2019-04-27,2025-07-15 19:42:53+00:00,Ubuntu 22.04.4,,09a8f358-2a6d-4ef3-9fee-beeaf7a5694d
None,phx3-cont-0020,DE582897882,Low,Planned,Internal IT,control,Dell,XR11 EDGE,-,c6:d1:ad:1a:ab:21,–,1.10.1,TAG28537,1019,,AMER,,PHX3,,R02,,,25,front,,,Front to rear,,172.26.43.130/24,,10.107.230.27,,,,,,,"DIMM slot A3 flaky, monitor",,lab,2024-11-11T01:48:43.000000+00:00,2025-10-11T01:48:43.000000+00:00,,ops-team,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,,N/A,,2025-11-15 01:48:43+00:00,,XR11,2fb9852e-b129-40cd-bb9a-c72119190bef
AST-LON2-00021,lon2-netw-0021,DE741288486,Low,Offline,Cloud Platform,network,Dell,R7615 STORAGE G2,10.30.92.213,f0:63:bc:e1:ec:90,6.16,N/A,TAG16839,1020,,EMEA,,LON2,LON2-DC-1,R05,,,8,Front,,,,,172.27.121.249/24,,None,,,,,"Ordered 2023, batch 8, rack row B",,"Needs recable
see ticket NET-2231",,,2023-03-16T10:16:10.000000+00:00,2023-06-03T10:16:10.000000+00:00,DC-Ops,m.papaj,2,Linux RHEL9,,,2,,4,,,,,,,,dell/30092025,2019-09-11,2023-09-06 10:16:10+00:00,,R7615,b3f4d281-e1a1-496b-be7a-116b0caa8a55
AST-DFW1-00022,dfw1-netw-0022,DE914799481,Low,Active,Cloud Platform,network,Dell,R7615 STORAGE G2,N/A,N/A,3.18,3.2.8,TAG18870,1021,,AMER,,DFW1,DFW1-DC-1,R05,,,41,front,,,,,172.29.56.199/24,,10.127.76.141,,,,,"Replaced PSU, vendor RMA #4411",,,,"baremetal,k8s",2023-12-28T11:23:11.000000+00:00,2024-08-14T11:23:11.000000+00:00,DC-Ops,j.smith,2,ESXi 8.0,,,2,,2,,,,,,,,,2024-10-28,2024-12-10 11:23:11+00:00,ESXi 8.0u2,-,2c7e619e-2be0-417b-babc-0eb1542e5406
AST-AMS1-00023,ams1-comp-0023,DE438868427,Medium,Active,Cloud Platform,compute,Dell,R660 COMP G2,-,fe:bc:88:2a:d9:28,,1.10.4,TAG88986,1022,,EMEA,,AMS1,N/A,R02,,,28,Front,,,Front to rear,,172.26.139.32/24,,10.136.182.221,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,"prod,edge",2022-08-21T08:56:01.000000+00:00,2023-05-12T08:56:01.000000+00:00,DC-Ops,a.kovac,2,Linux RHEL9,,,2,,2,,,,,,,,dell/15032026,2023-10-29,2023-05-20 08:56:01+00:00,None,R660,5cc626ef-be4b-46bd-895b-6577a5dbf632
AST-FRA1-00024,fra1-comp-0024,SU368018471,Medium,Decommissioned,Internal IT,compute,Supermicro,AS-1115CS-TNR STORAGE,–,2c:a3:b1:21:94:99,N/A,3.7.1,None,1023,,EMEA,,FRA1,FRA1-DC-3,R09,,,9,Front,,,Front to rear,,172.22.146.178/24,,None,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,lab,2020-12-18T11:20:31.000000+00:00,2021-01-01T11:20:31.000000+00:00,,m.papaj,2,Linux RHEL9,,,2,,2,,,,,,,25/12/2026,smc/2026.01,2023-05-27,2021-03-30 11:20:31+00:00,RHEL 9.4,AS-1115CS-TNR,c14bf596-704c-479a-aeef-2819423c4c99
AST-DFW1-00025,dfw1-comp-0025,HP656307931,Low,Active,Cloud Platform,compute,HPE,DL380 Gen10,10.31.82.83,–,–,2.0.7,N/A,1024,,AMER,,DFW1,,R04,,,11,front,,,,,172.25.40.65/24,,10.128.177.243,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,"prod,edge",2021-04-20T09:39:36.000000+00:00,2021-09-23T09:39:36.000000+00:00,Platform,ops-team,2,,,,2,,2,,,,,,,2026-12-11,15/11/2025,,2021-10-24 09:39:36+00:00,-,N/A,ce6d11cf-8b65-400b-a7ce-b4c7ce3adc4d
N/A,tyo1-netw-0026,DE303832812,Low,Staged,,network,Dell,R660 COMP G2,10.75.239.128,37:dc:44:87:bb:ce,5.1,None,TAG76093,1025,,APAC,,TYO1,,R11,,,22,front,,,Front to rear,,172.30.123.56/24,,10.163.11.24,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,,2021-05-10T01:25:53.000000+00:00,2022-01-21T01:25:53.000000+00:00,DC-Ops,j.smith,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,,,,2022-06-26 01:25:53+00:00,–,R660,db22e84c-a954-424b-81a8-8c2515c2bb66
AST-BER1-00027,ber1-stor-0027,SU975903641,Medium,Active,Internal IT,storage,Supermicro,SYS-521E-WR NET Gen3,10.52.56.251,38:61:09:e1:a0:d6,7.6,3.15.0,N/A,1026,,EMEA,,BER1,BER1-DC-4,–,,,22,,,,,,172.23.26.150/24,,10.139.13.153,,,,,"Ordered 2023, batch 8, rack row B",,,,"baremetal,k8s",2020-02-21T16:32:29.000000+00:00,2020-08-28T16:32:29.000000+00:00,,ops-team,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,2027-01-03,smc/2026.01,2023-10-08,2021-02-28 16:32:29+00:00,–,SYS-521E-WR,e332f79d-b5b0-4378-9a7c-5bbbbb3162aa
AST-AMS1-00028,ams1-comp-0028,HP471904990,Low,Active,Internal IT,compute,HPE,DL380 Gen10,10.42.245.55,d3:a9:f1:33:46:02,3.13,2.15.3,,1027,,EMEA,,AMS1,AMS1-DC-2,R03,,,3,Front,,,,,172.24.70.28/24,,10.168.138.239,,,,,,,"Needs recable
see ticket NET-2231",,lab,2023-10-06T09:57:12.000000+00:00,2024-09-06T09:57:12.000000+00:00,DC-Ops,ops-team,1,Linux RHEL9,,,2,,4,,,,,,,2026-03-11,15/11/2025,,2025-02-17 09:57:12+00:00,ESXi 8.0u2,DL380,1645e7e8-73b8-4f67-982b-a6577cf0078a
AST-LON2-00029,lon2-netw-0029,SU885033297,Medium,Active,Cloud Platform,network,Supermicro,None,10.42.95.4,78:e4:88:a8:9a:05,,2.9.2,TAG75866,1028,,EMEA,,LON2,LON2-DC-1,R06,,,24,Front,,,Front to rear,,172.28.218.132/24,,10.137.98.45,,,,,"Ordered 2023, batch 8, rack row B",,"Needs recable
see ticket NET-2231",,"baremetal,k8s",2023-11-26T19:08:34.000000+00:00,2024-10-23T19:08:34.000000+00:00,Platform,,2,ESXi 8.0,,,2,,2,,,,,,,2026-09-27,smc/2025.09,2023-06-29,2025-04-21 19:08:34+00:00,–,–,5ba8be71-fc4d-48aa-bb26-0ca32048e3ed
AST-SIN1-00030,sin1-comp-0030,SU224811770,High,Staged,,compute,Supermicro,SYS-221H-TNR CTRL Gen 3,10.84.250.24,None,3.4,3.13.5,TAG60132,1029,,APAC,,SIN1,SIN1-DC-1,R15,,,N/A,Front,,,Front to rear,,172.30.29.144/24,,None,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"prod,edge",2025-10-14T14:29:23.000000+00:00,2026-01-28T14:29:23.000000+00:00,,a.kovac,1,Linux RHEL9,,,2,,4,,,,,,,,smc/2026.01,2026-01-02,2026-03-27 14:29:23+00:00,RHEL 9.4,-,2cc13734-dfa9-47d2-af12-0e2910adf991
–,sin1-stor-0031,DE321278458,,Active,Managed Services,storage,Dell,R760XA GPU G2,10.86.17.115,a4:79:9a:49:71:d3,2.17,3.5.6,TAG16145,1030,,APAC,,SIN1,SIN1-DC-3,R08,,,20,,,,,,172.23.111.194/24,,None,,,,,"Ordered 2023, batch 4, rack row B",,"Needs recable
see ticket NET-2231",,"prod,edge",2020-07-28T01:34:25.000000+00:00,2020-09-18T01:34:25.000000+00:00,Platform,j.smith,2,,,,2,,6,,,,,,,,-,,2021-03-02 01:34:25+00:00,RHEL 9.4,R760XA,7877cc3e-2182-4d9a-b651-805e5b2a3506
AST-FRA2-00032,fra2-stor-0032,DE178151583,Low,Offline,Cloud Platform,storage,Dell,R760XA GPU G2,N/A,None,None,–,TAG86550,1031,,EMEA,,FRA2,–,R02,,,32,,,,,,172.19.245.235/24,,10.138.7.55,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,lab,2021-08-07T14:28:19.000000+00:00,2022-09-01T14:28:19.000000+00:00,Platform,a.kovac,2,ESXi 8.0,,,2,,2,,,,,,,2026-12-08,,2026-02-19,2022-09-20 14:28:19+00:00,,R760XA,d96b7903-d187-4192-a20d-b2153350c1a1
AST-DFW1-00033,dfw1-comp-0033,DE500721199,High,Staged,Internal IT,compute,Dell,R660 COMP G2,,81:b5:88:cb:28:bf,-,None,TAG59436,1032,,AMER,,-,DFW1-DC-1,R15,,,22,Front,,,Front to rear,,172.25.8.129/24,,N/A,,,,,"Ordered 2023, batch 4, rack row B",,"DIMM slot A3 flaky, monitor",,lab,2020-07-06T19:29:14.000000+00:00,2021-05-19T19:29:14.000000+00:00,Platform,j.smith,1,Linux Ubuntu 22.04,,,2,,6,,,,,,,2026-05-26,-,,2021-07-11 19:29:14+00:00,None,R660,5a40826b-ce97-48aa-a0a2-805c66c35b24
AST-LON2-00034,lon2-stor-0034,DE512151733,Low,Staged,Cloud Platform,storage,Dell,R760XA GPU G2,-,c2:2b:97:7e:25:2a,None,N/A,TAG68292,1033,,EMEA,,LON2,LON2-DC-2,R11,,,33,Front,,,Front to rear,,172.28.167.8/24,,10.109.174.155,,,,,,,"DIMM slot A3 flaky, monitor",,"baremetal,k8s",2021-03-10T19:28:20.000000+00:00,2022-02-26T19:28:20.000000+00:00,Platform,j.smith,2,,,,2,,4,,,,,,,2026-12-17,dell/30092025,2020-06-10,2022-08-20 19:28:20+00:00,N/A,R760XA,6f7836c3-3762-41a5-948e-62cf2e6b7113
AST-FRA1-00035,fra1-comp-0035,DE487754927,Low,Active,Managed Services,compute,Dell,R7615 STORAGE G2,10.90.253.153,66:f5:a0:5a:cb:a3,7.20,3.7.5,TAG61502,1034,,EMEA,,FRA1,FRA1-DC-2,R03,,,30,Front,,,,,172.28.170.216/24,,10.158.54.35,,,,,,,"Needs recable
see ticket NET-2231",,lab,2022-02-21T00:05:33.000000+00:00,2022-06-28T00:05:33.000000+00:00,DC-Ops,ops-team,1,Linux Ubuntu 22.04,,,2,,6,,,,,,,,dell/15032026,,2022-11-28 00:05:33+00:00,Ubuntu 22.04.4,R7615,3664a87b-38a0-46b4-8381-796c35291cde
AST-TYO1-00036,tyo1-stor-0036,SU217434526,Low,Staged,Internal IT,storage,Supermicro,AS-1115CS-TNR STORAGE,10.95.181.43,4d:b0:0c:f7:35:97,2.3,3.4.5,TAG69681,1035,,APAC,,TYO1,TYO1-DC-1,R03,,,,,,,Front to rear,,-,,10.105.204.248,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,,2022-02-10T05:26:33.000000+00:00,2023-01-13T05:26:33.000000+00:00,,a.kovac,1,ESXi 8.0,,,2,,6,,,,,,,,smc/2026.01,,2023-04-26 05:26:33+00:00,None,AS-1115CS-TNR,3a7e0c55-ea09-4c06-8a64-b7b1ea36f0bc
AST-DFW1-00037,dfw1-comp-0037,DE320959407,High,Decommissioned,Cloud Platform,compute,Dell,R760XA GPU G2,10.18.52.205,58:98:2b:44:a0:3c,-,3.12.6,TAG85340,1036,,AMER,,DFW1,DFW1-DC-2,R07,,,None,,,,Front to rear,,172.24.250.136/24,,,,,,,,,"Needs recable
see ticket NET-2231",,"prod,edge",2022-05-14T18:53:40.000000+00:00,2023-06-04T18:53:40.000000+00:00,DC-Ops,m.papaj,2,,,,2,,6,,,,,,,,dell/15032026,2019-09-14,2023-10-26 18:53:40+00:00,RHEL 9.4,,c1e802f8-d2ba-4681-899d-9525e31a1be1
AST-LON2-00038,lon2-cont-0038,DE690263993,High,Quarantine,Cloud Platform,control,Dell,R760XA GPU G2,10.83.58.69,2c:e0:3c:79:6b:b3,6.20,3.4.3,TAG17780,1037,,EMEA,,LON2,LON2-DC-2,R16,,,19,,,,Front to rear,,172.22.217.27/24,,10.146.21.195,,,,,"Burn-in done, handed to platform team",,,,"baremetal,k8s",2024-05-06T00:27:16.000000+00:00,2024-07-03T00:27:16.000000+00:00,,a.kovac,1,ESXi 8.0,,,2,,2,,,,,,,2026-11-07,dell/01122024,2020-03-17,2024-11-27 00:27:16+00:00,None,R760XA,ed534eba-4f47-4bd9-9e02-7c06f1521d5a
AST-FRA1-00039,fra1-stor-0039,DE624033772,Low,Active,Internal IT,storage,Dell,R7615 STORAGE G2,10.10.47.188,-,None,N/A,TAG22234,1038,,EMEA,,FRA1,N/A,R15,,,15,Front,,,Front to rear,,172.22.219.212/24,,10.145.32.204,,,,,"Ordered 2023, batch 1, rack row B",,"Needs recable
see ticket NET-2231",,,2022-10-13T20:27:26.000000+00:00,2023-08-07T20:27:26.000000+00:00,DC-Ops,,1,,,,2,,2,,,,,,,,,04/07/2023,2023-11-23 20:27:26+00:00,,,edb98671-4907-4594-ab66-c2c9626a0bbe
AST-DFW1-00040,dfw1-netw-0040,DE930496866,High,Active,Internal IT,network,Dell,R7615 STORAGE G2,10.96.73.18,c4:b3:db:a1:47:7e,2.7,3.9.0,TAG96298,1039,,AMER,,DFW1,DFW1-DC-2,R13,,,4,Front,,,,,172.22.77.236/24,,10.101.84.113,,,,,,,,,lab,2021-02-17T16:06:08.000000+00:00,2022-01-12T16:06:08.000000+00:00,,,1,Linux RHEL9,,,2,,4,,,,,,,2027-10-02,N/A,2024-10-22,2022-02-25 16:06:08+00:00,Ubuntu 22.04.4,R7615,431acd0f-0ac4-409b-92ea-f825225dc0d3
AST-FRA1-00041,fra1-comp-0041,DE643968992,Low,Active,Internal IT,compute,Dell,R660 COMP G2,10.74.212.109,7a:1d:7d:2c:de:3b,-,1.0.2,TAG31473,1040,,EMEA,,FRA1,-,R13,,,18,Front,,,Front to rear,,172.22.79.138/24,,,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,,2022-06-09T02:04:42.000000+00:00,2023-04-27T02:04:42.000000+00:00,Platform,,1,,,,2,,4,,,,,,,,,2021-03-03,2023-11-10 02:04:42+00:00,RHEL 9.4,R660,ddecbb4e-e3fe-478f-9e76-f4e670a7ac3c
